Legal Name,Borough,Permit Expiration,Status,Age Range,Maximum Capacity,Child Care Type,Date Permitted,Current Date,Years in operations,Violation Rate Percent,Total Educational Workers,Public Health Hazard Violation Rate,Critical Violation Rate,Inspection Date,Regulation Summary,Violation Category,Violation Status,Inspection Summary Result
"CREATIVE MINDS CENTER,INC.",BROOKLYN,11/15/22,Permitted,2 YEARS - 5 YEARS,35,Child Care - Pre School,11/15/04,4/17/22,17,50,3,0,50,1/14/22,There were no new violations observed at the time of this inspection/visit.,No violation,N/A,Compliance Inspection of Open Violations - Previously cited violations corrected
"HANSON PLACE CHILD DEVELOPMENT CENTER, INC.",BROOKLYN,12/7/21,Expired-In Renewal,0 YEARS - 2 YEARS,18,Child Care - Infants/Toddlers,11/26/04,4/17/22,17,16.6667,9,0,16.6667,1/25/22,There were no new violations observed at the time of this inspection/visit.,No violation,N/A,Initial Annual Inspection - Passed inspection with no violations
LEARN AND EXPLORE LLC.,BROOKLYN,8/5/22,Permitted,2 YEARS - 5 YEARS,102,Child Care - Pre School,8/5/14,4/17/22,7,20,13,0,20,3/3/22,There were no new violations observed at the time of this inspection/visit.,No violation,N/A,Initial Annual Inspection - Passed inspection with no violations
5 POINT FAMILY LLC,MANHATTAN,9/16/23,Permitted,0 YEARS - 2 YEARS,36,Child Care - Infants/Toddlers,9/16/19,4/17/22,2,75,10,0,75,2/18/22,At time of inspection hand wash sinks are Not supplied with an adequate amount of running water. At time of inspection water temperature exceeded 115 deg Fahrenheit.,CRITICAL,CORRECTED,Initial Annual Inspection - Reinspection Required; Violations corrected at time of inspection
HEARTSHARE HUMAN SERVICES OF NEW YORK,QUEENS,9/6/23,Permitted,2 YEARS - 5 YEARS,121,Child Care - Pre School,5/25/89,4/17/22,32,33.3333,52,0,33.3333,3/8/22,There were no new violations observed at the time of this inspection/visit.,No violation,N/A,Initial Annual Inspection - Passed inspection with no violations
"GIFTED AND TALENTED EARLY DEVELOPERS, LLC",BROOKLYN,4/13/21,Expired-In Renewal,2 YEARS - 5 YEARS,47,Child Care - Pre School,4/13/15,4/17/22,7,20,8,0,20,1/13/22,There were no new violations observed at the time of this inspection/visit.,No violation,N/A,Initial Annual Inspection - Passed inspection with no violations
"LES  PETIT  SOURIRES, LLC",MANHATTAN,4/21/23,Permitted,2 YEARS - 5 YEARS,24,Child Care - Pre School,4/21/17,4/17/22,4,33.3333,5,0,33.3333,2/1/22,There were no new violations observed at the time of this inspection/visit.,No violation,N/A,Compliance Inspection of Open Violations - Previously cited violations corrected
"GRAND STREET SETTLEMENT,INC.",BROOKLYN,7/28/22,Permitted,2 YEARS - 5 YEARS,103,Child Care - Pre School,7/28/20,4/17/22,1,0,18,0,0,1/19/22,There were no new violations observed at the time of this inspection/visit.,No violation,N/A,Initial Annual Inspection - Passed inspection with no violations
Imagine Early Learning Centers LLC,BROOKLYN,7/8/23,Permitted,2 YEARS - 5 YEARS,89,Child Care - Pre School,7/8/21,4/17/22,0,0,1,0,0,3/1/22,There were no new violations observed at the time of this inspection/visit.,No violation,N/A,Initial Annual Inspection - Passed inspection with no violations
N and J Family Daycare Inc.,STATEN ISLAND,9/22/23,Permitted,2 YEARS - 5 YEARS,94,Child Care - Pre School,9/22/21,4/17/22,0,0,1,0,0,3/24/22,There were no new violations observed at the time of this inspection/visit.,No violation,N/A,Initial Annual Inspection - Passed inspection with no violations
GARDEN HOUSE SCHOOL OF NEW YORK,MANHATTAN,9/9/23,Permitted,2 YEARS - 5 YEARS,105,Child Care - Pre School,9/8/11,4/17/22,10,33.3333,34,0,33.3333,2/1/22,Refrigeration units provided with thermometers; thermometers calibrated to (+)(-) 2 degree F accuracy; properly placed in warmest spot of unit,GENERAL,CORRECTED,Initial Annual Inspection - Reinspection Not Required
"COLONY-SOUTH BROOKLYN HOUSES, INC.",BROOKLYN,1/14/23,Permitted,2 YEARS - 5 YEARS,47,Child Care - Pre School,1/14/05,4/17/22,17,75,10,0,75,2/17/22,At time of inspection floors/walls ceilings were observed Not maintained; in disrepair or covered in a toxic finish.,GENERAL,OPEN,Monitoring Inspection Non-Routine - Reinspection Required
"SHELTERING ARMS CHILDREN AND FAMILY SERVICES, INC.",BRONX,10/1/22,Permitted,2 YEARS - 5 YEARS,65,Child Care - Pre School,10/1/12,4/17/22,9,25,9,0,25,3/9/22,At time of inspection hand wash sinks are Not supplied with an adequate amount of running water. At time of inspection water temperature exceeded 115 deg Fahrenheit.,CRITICAL,CORRECTED,Monitoring Inspection Non-Routine - Reinspection Required; Fines pending
RAINBOW CHILD DEVELOPMENT CENTER INC,QUEENS,5/25/22,Permitted,2 YEARS - 5 YEARS,154,Child Care - Pre School,5/25/10,4/17/22,11,16.6667,25,16.6667,16.6667,2/11/22,There were no new violations observed at the time of this inspection/visit.,No violation,N/A,Initial Annual Inspection - Passed inspection with no violations
"ECUMENICAL COMMUNITY DEVELOPMENT ORGANIZATION, INC.",MANHATTAN,9/23/23,Permitted,2 YEARS - 5 YEARS,69,Child Care - Pre School,9/28/05,4/17/22,16,0,9,0,0,2/24/22,There were no new violations observed at the time of this inspection/visit.,No violation,N/A,Initial Annual Inspection - Passed inspection with no violations
"UNITED ACADEMY, INC.",BROOKLYN,10/25/22,Permitted,2 YEARS - 5 YEARS,306,Child Care - Pre School,10/25/12,4/17/22,9,16.6667,37,16.6667,16.6667,3/15/22,There were no new violations observed at the time of this inspection/visit.,No violation,N/A,Initial Annual Inspection - Passed inspection with no violations
ASSOCIATION TO BENEFIT CHILDREN,MANHATTAN,9/10/23,Permitted,2 YEARS - 5 YEARS,55,Child Care - Pre School,7/11/03,4/17/22,18,60,14,20,60,3/10/22,At time of inspection it was observed that child care service failed to provide appropriate guards on designated structures/equipment to protect children from potential injury.,GENERAL,CORRECTED,Initial Annual Inspection - Passed inspection; Violations corrected at time of inspection
MONTCLARE CHILDREN'S SCHOOL LLC,MANHATTAN,4/18/22,Permitted,2 YEARS - 5 YEARS,245,Child Care - Pre School,2/27/04,4/17/22,18,20,29,0,20,3/31/22,There were no new violations observed at the time of this inspection/visit.,No violation,N/A,Initial Annual Inspection - Passed inspection with no violations
"Brooklyn Chinese-American Association, Inc",BROOKLYN,9/27/22,Permitted,2 YEARS - 5 YEARS,113,Child Care - Pre School,9/27/16,4/17/22,5,0,15,0,0,3/15/22,There were no new violations observed at the time of this inspection/visit.,No violation,N/A,Initial Annual Inspection - Passed inspection with no violations
"CHRIST CHURCH, METHODIST EPISCOPAL, OF NEW YORK CITY",MANHATTAN,2/19/24,Permitted,2 YEARS - 5 YEARS,75,Child Care - Pre School,9/4/03,4/17/22,18,50,14,16.6667,33.3333,1/19/22,Constant and competent supervision provided by adequate staff for children and groups of children,PUBLIC HEALTH HAZARD,CORRECTED,Initial Annual Inspection - Reinspection Required; Fines pending
MANHATTAN SCHOOLHOUSE LLC,MANHATTAN,4/17/23,Permitted,0 YEARS - 2 YEARS,56,Child Care - Infants/Toddlers,4/17/15,4/17/22,7,0,17,0,0,2/15/22,There were no new violations observed at the time of this inspection/visit.,No violation,N/A,Initial Annual Inspection - Passed inspection with no violations
"KIDZ VILLAGE,LLC",QUEENS,7/23/22,Permitted,2 YEARS - 5 YEARS,58,Child Care - Pre School,7/23/12,4/17/22,9,33.3333,6,16.6667,33.3333,3/1/22,Exits and other egress Not provided with required signage at time of inspection.,CRITICAL,OPEN,Initial Annual Inspection - Reinspection Required; Fines pending
"ROCHDALE VILLAGE NURSERY SCHOOL,INC",QUEENS,9/27/22,Permitted,2 YEARS - 5 YEARS,30,Child Care - Pre School,10/16/64,4/17/22,57,0,10,0,0,1/4/22,There were no new violations observed at the time of this inspection/visit.,No violation,N/A,Initial Annual Inspection - Passed inspection with no violations
"EARLY SUNRISE PRESCHOOL&KINDERGARTEN,INC.",QUEENS,7/7/22,Permitted,2 YEARS - 5 YEARS,29,Child Care - Pre School,6/7/04,4/17/22,17,66.6667,5,33.3333,66.6667,2/18/22,At time of inspection child care service facility observed Not maintained or in disrepair. Dry sweeping observed in areas occupied by children.,CRITICAL,OPEN,Initial Annual Inspection - Reinspection Required; Fines pending
"ONE OF A KIND CHILD CARE, LLC.",STATEN ISLAND,10/17/22,Permitted,2 YEARS - 5 YEARS,24,Child Care - Pre School,10/17/14,4/17/22,7,0,14,0,0,2/3/22,There were no new violations observed at the time of this inspection/visit.,No violation,N/A,Initial Annual Inspection - Passed inspection with no violations
FIRST STEPS AT CLINTON,MANHATTAN,10/12/22,Permitted,0 YEARS - 2 YEARS,28,Child Care - Infants/Toddlers,10/12/12,4/17/22,9,0,10,0,0,1/31/22,There were no new violations observed at the time of this inspection/visit.,No violation,N/A,Initial Annual Inspection - Passed inspection with no violations
STEPPING STONE OF SOUTH EASTERN QUEENS INC,QUEENS,9/5/23,Permitted,2 YEARS - 5 YEARS,26,Child Care - Pre School,8/4/03,4/17/22,18,50,3,0,50,2/24/22,At time of inspection it was observed that child care service failed to provide appropriate guards on designated structures/equipment to protect children from potential injury.,GENERAL,OPEN,Initial Annual Inspection - Reinspection Required; Fines pending
"TUTOR TIME LEARNING CENTERS, LLC",BROOKLYN,8/10/23,Permitted,0 YEARS - 2 YEARS,36,Child Care - Infants/Toddlers,6/20/03,4/17/22,18,33.3333,20,16.6667,33.3333,2/24/22,At time of inspection child care service facility observed Not maintained or in disrepair. Dry sweeping observed in areas occupied by children.,CRITICAL,OPEN,Initial Annual Inspection - Reinspection Required; Fines pending
MOREAU LMSW CHILDREN AND FAMILY SERVICES P.C.,MANHATTAN,3/23/23,Permitted,2 YEARS - 5 YEARS,50,Child Care - Pre School,3/23/17,4/17/22,5,25,7,25,25,3/17/22,There were no new violations observed at the time of this inspection/visit.,No violation,N/A,Initial Annual Inspection - Passed inspection with no violations
YOUNG MEN'S CHRISTIAN ASSOCIATION OF GREATER NEW YORK,MANHATTAN,2/16/23,Permitted,2 YEARS - 5 YEARS,29,Child Care - Pre School,12/9/04,4/17/22,17,20,3,0,20,3/22/22,There were no new violations observed at the time of this inspection/visit.,No violation,N/A,Initial Annual Inspection - Passed inspection with no violations
"GATEWAY CATHEDRAL, INC.",STATEN ISLAND,4/2/22,Expired-In Renewal,2 YEARS - 5 YEARS,147,Child Care - Pre School,4/2/14,4/17/22,8,0,15,0,0,2/16/22,There were no new violations observed at the time of this inspection/visit.,No violation,N/A,Initial Annual Inspection - Passed inspection with no violations
GAN INC.,BROOKLYN,12/4/21,Expired-In Renewal,2 YEARS - 5 YEARS,66,Child Care - Pre School,12/3/09,4/17/22,12,0,6,0,0,2/10/22,There were no new violations observed at the time of this inspection/visit.,No violation,N/A,Initial Annual Inspection - Passed inspection with no violations
LITTLE L.A.M.B. PRESCHOOL,STATEN ISLAND,5/27/22,Permitted,2 YEARS - 5 YEARS,148,Child Care - Pre School,5/27/04,4/17/22,17,0,17,0,0,1/6/22,There were no new violations observed at the time of this inspection/visit.,No violation,N/A,Initial Annual Inspection - Passed inspection with no violations
"CINDERELLA DAY CARE CENTER, INC.",BROOKLYN,9/25/22,Permitted,2 YEARS - 5 YEARS,40,Child Care - Pre School,9/20/04,4/17/22,17,0,5,0,0,1/26/22,There were no new violations observed at the time of this inspection/visit.,No violation,N/A,Initial Annual Inspection - Passed inspection with no violations
"THE LAUGH AND LEARN PLACE, INC.",QUEENS,2/26/24,Permitted,2 YEARS - 5 YEARS,36,Child Care - Pre School,2/25/14,4/17/22,8,50,3,33.3333,33.3333,3/15/22,There were no new violations observed at the time of this inspection/visit.,No violation,N/A,Initial Annual Inspection - Passed inspection with no violations
"PHIPPS NEIGHBORHOODS, INC.",BRONX,9/8/23,Permitted,2 YEARS - 5 YEARS,60,Child Care - Pre School,9/8/15,4/17/22,6,50,11,25,25,3/17/22,There were no new violations observed at the time of this inspection/visit.,No violation,N/A,Initial Annual Inspection - Passed inspection with no violations
WOMEN'S HOUSING AND ECOMOMIC DEVELOPMENT CORP.,BRONX,1/19/23,Permitted,2 YEARS - 5 YEARS,112,Child Care - Pre School,1/20/05,4/17/22,17,60,14,0,60,2/7/22,At time of inspection floors/walls ceilings were observed Not maintained; in disrepair or covered in a toxic finish.,GENERAL,CORRECTED,Monitoring Inspection Non-Routine - Reinspection Not Required
"HOPSCOTCH MONTESSORI, INC.",MANHATTAN,4/19/24,Permitted,2 YEARS - 5 YEARS,52,Child Care - Pre School,4/19/16,4/17/22,5,50,13,0,50,2/10/22,There were no new violations observed at the time of this inspection/visit.,No violation,N/A,Initial Annual Inspection - Passed inspection with no violations
"BLUE STAR OF NEW YORK, INC.",BROOKLYN,9/5/23,Permitted,2 YEARS - 5 YEARS,74,Child Care - Pre School,9/5/13,4/17/22,8,0,9,0,0,2/9/22,There were no new violations observed at the time of this inspection/visit.,No violation,N/A,Initial Annual Inspection - Passed inspection with no violations
wBEES FOREST HOUSE INC.,QUEENS,10/29/22,Permitted,2 YEARS - 5 YEARS,41,Child Care - Pre School,10/29/18,4/17/22,3,16.6667,17,0,16.6667,1/25/22,There were no new violations observed at the time of this inspection/visit.,No violation,N/A,Initial Annual Inspection - Passed inspection with no violations
"BBLI AT WASHINGTON AVENUE, LLC",BROOKLYN,12/3/23,Permitted,0 YEARS - 2 YEARS,26,Child Care - Infants/Toddlers,12/3/13,4/17/22,8,20,6,0,20,1/27/22,There were no new violations observed at the time of this inspection/visit.,No violation,N/A,Initial Annual Inspection - Passed inspection with no violations
"ROOSEVELT ISLAND DAY NURSERY, INC.",MANHATTAN,9/19/23,Permitted,2 YEARS - 5 YEARS,80,Child Care - Pre School,8/20/03,4/17/22,18,42.8571,13,14.2857,42.8571,1/25/22,There were no new violations observed at the time of this inspection/visit.,No violation,N/A,Initial Annual Inspection - Passed inspection with no violations
SHOLOM DAY CARE INC.,QUEENS,5/23/23,Permitted,2 YEARS - 5 YEARS,72,Child Care - Pre School,10/15/02,4/17/22,19,0,7,0,0,1/19/22,There were no new violations observed at the time of this inspection/visit.,No violation,N/A,Initial Annual Inspection - Passed inspection with no violations
THE TRUSTEES OF COLUMBIA UNIVERSITY IN THE CITY OF NEW YORK,MANHATTAN,5/15/21,Expired-In Renewal,0 YEARS - 2 YEARS,20,Child Care - Infants/Toddlers,6/2/04,4/17/22,17,0,17,0,0,1/24/22,There were no new violations observed at the time of this inspection/visit.,No violation,N/A,Initial Annual Inspection - Passed inspection with no violations
BAMBI CHILD CARE 2 INC.,BROOKLYN,1/24/24,Permitted,2 YEARS - 5 YEARS,20,Child Care - Pre School,3/22/12,4/17/22,10,20,4,0,20,1/24/22,There were no new violations observed at the time of this inspection/visit.,No violation,N/A,Initial Annual Inspection - Passed inspection with no violations
"YELED V'YALDA EARLY CHILDHOOD CENTER,INC.",BROOKLYN,8/31/21,Expired-In Renewal,2 YEARS - 5 YEARS,204,Child Care - Pre School,8/31/07,4/17/22,14,20,27,20,0,2/1/22,Child care service/camp fails to comply with an Order of the Board or Commissioner of Health and Mental Hygiene.,PUBLIC HEALTH HAZARD,OPEN,Initial Annual Inspection - Reinspection Required; Fines pending
"STARLIGHT DAYCARE, INC.",BROOKLYN,11/15/23,Permitted,2 YEARS - 5 YEARS,55,Child Care - Pre School,11/15/17,4/17/22,4,20,10,20,0,2/9/22,There were no new violations observed at the time of this inspection/visit.,No violation,N/A,Initial Annual Inspection - Passed inspection with no violations
"STUYVESANT HEIGHTS MONTESSORI,INC.",BROOKLYN,9/16/20,Expired-In Renewal,2 YEARS - 5 YEARS,71,Child Care - Pre School,9/16/08,4/17/22,13,28.5714,7,0,28.5714,3/1/22,There were no new violations observed at the time of this inspection/visit.,No violation,N/A,Initial Annual Inspection - Passed inspection with no violations
"PURPLE CIRCLE DAY CARE CENTER, INC.",MANHATTAN,4/23/23,Permitted,2 YEARS - 5 YEARS,51,Child Care - Pre School,4/23/21,4/17/22,0,0,10,0,0,3/3/22,There were no new violations observed at the time of this inspection/visit.,No violation,N/A,Initial Annual Inspection - Passed inspection with no violations
THE CITY AND COUNTRY SCHOOL INC.,MANHATTAN,11/30/20,Expired-In Renewal,2 YEARS - 5 YEARS,45,Child Care - Pre School,8/11/04,4/17/22,17,0,9,0,0,1/21/22,There were no new violations observed at the time of this inspection/visit.,No violation,N/A,Initial Annual Inspection - Passed inspection with no violations
"STATEN ISLAND SKATING PAVILION, INC",STATEN ISLAND,7/31/21,Expired-In Renewal,2 YEARS - 5 YEARS,22,Child Care - Pre School,7/31/15,4/17/22,6,0,3,0,0,3/17/22,There were no new violations observed at the time of this inspection/visit.,No violation,N/A,Initial Annual Inspection - Passed inspection with no violations
GIL-BLU NURSERY AND KINDERGARTEN,QUEENS,10/15/23,Permitted,2 YEARS - 5 YEARS,44,Child Care - Pre School,10/15/19,4/17/22,2,66.6667,4,0,66.6667,2/3/22,There were no new violations observed at the time of this inspection/visit.,No violation,N/A,Initial Annual Inspection - Passed inspection with no violations
TREMONT CROTONA DAY CARE CENTER INC.,BRONX,9/12/22,Permitted,2 YEARS - 5 YEARS,62,Child Care - Pre School,9/12/08,4/17/22,13,33.3333,5,0,33.3333,2/15/22,There were no new violations observed at the time of this inspection/visit.,No violation,N/A,Initial Annual Inspection - Passed inspection with no violations
"STRONG PLACE DAY CARE CENTER, INC.",BROOKLYN,7/25/20,Expired-In Renewal,2 YEARS - 5 YEARS,159,Child Care - Pre School,7/25/12,4/17/22,9,42.8571,16,0,42.8571,3/17/22,There were no new violations observed at the time of this inspection/visit.,No violation,N/A,Initial Annual Inspection - Passed inspection with no violations
YOUNG MENS CHRISTIAN ASSOCIATION OF GREATER NEW YORK,STATEN ISLAND,9/20/21,Expired-In Renewal,2 YEARS - 5 YEARS,112,Child Care - Pre School,5/19/05,4/17/22,16,0,18,0,0,3/23/22,There were no new violations observed at the time of this inspection/visit.,No violation,N/A,Initial Annual Inspection - Passed inspection with no violations
THE CHILD STUDY CENTER OF NEW YORK,STATEN ISLAND,4/25/23,Permitted,2 YEARS - 5 YEARS,142,Child Care - Pre School,9/14/85,4/17/22,36,0,29,0,0,3/24/22,There were no new violations observed at the time of this inspection/visit.,No violation,N/A,Initial Annual Inspection - Passed inspection with no violations
"BRIGHT HORIZONS CHILDREN'S CENTER, INCORPORATED",QUEENS,6/30/22,Permitted,0 YEARS - 2 YEARS,44,Child Care - Infants/Toddlers,6/30/16,4/17/22,5,0,6,0,0,2/2/22,There were no new violations observed at the time of this inspection/visit.,No violation,N/A,Initial Annual Inspection - Passed inspection with no violations
"RIVERDALE NEIGHBORHOOD HOUSE, INC.",BRONX,5/28/22,Permitted,2 YEARS - 5 YEARS,84,Child Care - Pre School,5/28/04,4/17/22,17,50,12,0,50,3/29/22,Child care service fails to store dry goods in insect/rodent proof containers at time of inspection.,CRITICAL,CORRECTED,Initial Annual Inspection - Reinspection Required
"YELED V'YALDA EARLY CHILDHOOD CENTER, INC.",BROOKLYN,11/5/22,Permitted,2 YEARS - 5 YEARS,52,Child Care - Pre School,11/5/12,4/17/22,9,0,5,0,0,3/22/22,There were no new violations observed at the time of this inspection/visit.,No violation,N/A,Initial Annual Inspection - Passed inspection with no violations
"CHRIST THE KING CONTINUING EDUCATION, INC.",QUEENS,6/29/23,Permitted,0 YEARS - 2 YEARS,62,Child Care - Infants/Toddlers,6/28/04,4/17/22,17,14.2857,16,0,14.2857,2/18/22,There were no new violations observed at the time of this inspection/visit.,No violation,N/A,Initial Annual Inspection - Passed inspection with no violations
"THE CHILDREN'S AID SOCIETY, INC.",BRONX,10/15/22,Permitted,2 YEARS - 5 YEARS,71,Child Care - Pre School,10/15/12,4/17/22,9,100,14,0,100,3/25/22,At time of inspection it was determined that child care service failed to take any and all necessary action to eliminate potential hazards.,CRITICAL,OPEN,Initial Annual Inspection - Reinspection Required; Fines pending
GREAT EXPECTATIONS HOLDING CORP,QUEENS,7/1/23,Permitted,2 YEARS - 5 YEARS,79,Child Care - Pre School,7/1/03,4/17/22,18,25,11,0,25,2/17/22,There were no new violations observed at the time of this inspection/visit.,No violation,N/A,Initial Annual Inspection - Passed inspection with no violations
KOLEL BEIS YITZCHOK D'SVALYIVA,BROOKLYN,5/28/23,Permitted,0 YEARS - 2 YEARS,56,Child Care - Infants/Toddlers,5/28/21,4/17/22,0,100,5,100,0,3/16/22,There were no new violations observed at the time of this inspection/visit.,No violation,N/A,Compliance Inspection of Open Violations - Previously cited violations corrected
"URBAN STRATEGIES, INC",BROOKLYN,2/3/24,Permitted,2 YEARS - 5 YEARS,70,Child Care - Pre School,2/3/14,4/17/22,8,0,11,0,0,2/11/22,At time of inspection floors/walls ceilings were observed Not maintained; in disrepair or covered in a toxic finish.,GENERAL,CORRECTED,Initial Annual Inspection - Reinspection Not Required
KINDERCARE EDUCATION AT WORK LLC,MANHATTAN,4/17/22,Permitted,0 YEARS - 2 YEARS,72,Child Care - Infants/Toddlers,4/17/18,4/17/22,4,14.2857,10,14.2857,14.2857,2/9/22,There were no new violations observed at the time of this inspection/visit.,No violation,N/A,Initial Annual Inspection - Passed inspection; Violations corrected at time of inspection
"CHILDRENS ARK DAY CARE CENTER, INC.",BROOKLYN,12/30/22,Permitted,2 YEARS - 5 YEARS,25,Child Care - Pre School,12/30/04,4/17/22,17,42.8571,2,0,42.8571,1/19/22,There were no new violations observed at the time of this inspection/visit.,No violation,N/A,Initial Annual Inspection - Reinspection Required; Violations corrected at time of inspection
IVY INTERNATIONAL USA INC.,QUEENS,5/6/23,Permitted,2 YEARS - 5 YEARS,124,Child Care - Pre School,5/6/13,4/17/22,8,33.3333,12,0,33.3333,2/11/22,There were no new violations observed at the time of this inspection/visit.,No violation,N/A,Compliance Inspection of Open Violations - Reinspection Not Required
CATHEDRAL CHURCH OF ST. JOHN THE DIVINE IN THE CITY AND DIOCESES OF NEW YORK,MANHATTAN,7/18/21,Expired-In Renewal,2 YEARS - 5 YEARS,29,Child Care - Pre School,6/26/05,4/17/22,16,33.3333,7,0,33.3333,1/27/22,At time of inspection it was determined that child care service allows staff to perform their duties that are Not healthy or are incapable of carrying out their duties. Staff medical clearances are Not maintained by child care service.,GENERAL,CORRECTED,Initial Annual Inspection - Reinspection Required; Fines pending
DIKI DAYCARE CENTER INC.,QUEENS,5/27/23,Permitted,2 YEARS - 5 YEARS,66,Child Care - Pre School,10/5/09,4/17/22,12,0,12,0,0,2/9/22,There were no new violations observed at the time of this inspection/visit.,No violation,N/A,Initial Annual Inspection - Passed inspection with no violations
"JEWISH COMMUNITY CENTER OF STATEN ISLAND, INCORPORATED",STATEN ISLAND,2/5/23,Permitted,2 YEARS - 5 YEARS,153,Child Care - Pre School,2/5/07,4/17/22,15,20,29,0,20,3/31/22,There were no new violations observed at the time of this inspection/visit.,No violation,N/A,Initial Annual Inspection - Passed inspection with no violations
Yash Child Care Corp,BROOKLYN,2/21/24,Permitted,0 YEARS - 2 YEARS,73,Child Care - Infants/Toddlers,2/21/18,4/17/22,4,0,10,0,0,1/19/22,There were no new violations observed at the time of this inspection/visit.,No violation,N/A,Initial Annual Inspection - Passed inspection with no violations
"IMMANUEL NEW YORK MISSION, INC.",QUEENS,1/2/24,Permitted,2 YEARS - 5 YEARS,72,Child Care - Pre School,1/2/14,4/17/22,8,20,10,0,20,3/18/22,There were no new violations observed at the time of this inspection/visit.,No violation,N/A,Compliance Inspection of Open Violations - Previously cited violations corrected
BRIGHT HORIZONS CHILDREN'S CENTERS LLC.,MANHATTAN,12/20/21,Expired-In Renewal,0 YEARS - 2 YEARS,36,Child Care - Infants/Toddlers,12/20/17,4/17/22,4,0,9,0,0,1/25/22,There were no new violations observed at the time of this inspection/visit.,No violation,N/A,Initial Annual Inspection - Passed inspection with no violations
"ACTION NURSERY, INC.",BROOKLYN,3/11/23,Permitted,2 YEARS - 5 YEARS,35,Child Care - Pre School,3/11/05,4/17/22,17,16.6667,9,0,16.6667,2/16/22,There were no new violations observed at the time of this inspection/visit.,No violation,N/A,Initial Annual Inspection - Passed inspection with no violations
"UNION SETTLEMENT ASSOCIATION, INC.",MANHATTAN,10/24/22,Permitted,2 YEARS - 5 YEARS,97,Child Care - Pre School,10/12/04,4/17/22,17,50,11,50,0,3/9/22,There were no new violations observed at the time of this inspection/visit.,No violation,N/A,Initial Annual Inspection - Passed inspection with no violations
ZNAYKA ON Y INC.,BROOKLYN,11/17/22,Permitted,2 YEARS - 5 YEARS,38,Child Care - Pre School,11/17/08,4/17/22,13,0,7,0,0,3/22/22,There were no new violations observed at the time of this inspection/visit.,No violation,N/A,Initial Annual Inspection - Passed inspection with no violations
"GABECO INDUSTRIES, INC.",STATEN ISLAND,4/20/22,Permitted,2 YEARS - 5 YEARS,167,Child Care - Pre School,8/17/09,4/17/22,12,25,56,0,25,2/10/22,"Staff and volunteers obtain documentation showing immunization with 2 doses measles/mumps, 1 dose rubella, 2 doses varicella and 1 dose Tdap. Medical exemptions only. History of measles, mumps or rubella shall Not replace MMR vaccine except in presence of MMR varicella antibodies.",GENERAL,CORRECTED,Initial Annual Inspection - Reinspection Required; Violations corrected at time of inspection
"ALL SEASONS ABC  DAY CARE, LLC",BRONX,4/16/22,Permitted,2 YEARS - 5 YEARS,91,Child Care - Pre School,4/16/18,4/17/22,4,50,15,0,50,3/18/22,Fire extinguishers observed Not to be inspected or maintained at time of inspection.,CRITICAL,OPEN,Initial Annual Inspection - Reinspection Required; Fines pending
BAY ONE PRESCHOOL LLC,BROOKLYN,4/21/23,Permitted,2 YEARS - 5 YEARS,60,Child Care - Pre School,4/21/17,4/17/22,4,0,9,0,0,1/10/22,There were no new violations observed at the time of this inspection/visit.,No violation,N/A,Initial Annual Inspection - Passed inspection with no violations
HAPPY BEES DAY CARE,QUEENS,3/31/24,Permitted,2 YEARS - 5 YEARS,14,Child Care - Pre School,3/31/14,4/17/22,8,0,4,0,0,2/18/22,"Staff and volunteers obtain documentation showing immunization with 2 doses measles/mumps, 1 dose rubella, 2 doses varicella and 1 dose Tdap. Medical exemptions only. History of measles, mumps or rubella shall Not replace MMR vaccine except in presence of MMR varicella antibodies.",GENERAL,CORRECTED,Initial Annual Inspection - Reinspection Not Required
THE WONDER YEARS PRESCHOOL INC.,STATEN ISLAND,10/18/22,Permitted,2 YEARS - 5 YEARS,49,Child Care - Pre School,10/17/06,4/17/22,15,20,5,0,20,3/23/22,There were no new violations observed at the time of this inspection/visit.,No violation,N/A,Initial Annual Inspection - Passed inspection with no violations
"KA ON PARSONS, INC.",QUEENS,10/1/23,Permitted,0 YEARS - 2 YEARS,56,Child Care - Infants/Toddlers,10/1/13,4/17/22,8,20,9,0,20,2/8/22,At time of inspection floors/walls ceilings were observed Not maintained; in disrepair or covered in a toxic finish.,GENERAL,CORRECTED,Initial Annual Inspection - Reinspection Required
"YESHIVATH KEHILATH YAKOV, INC",BROOKLYN,9/3/21,Expired-In Renewal,2 YEARS - 5 YEARS,95,Child Care - Pre School,9/3/09,4/17/22,12,20,20,20,0,2/1/22,Fingerprint screening Not arranged for current and prospective personnel; Results Not satisfactory or CAP was Not approved,PUBLIC HEALTH HAZARD,OPEN,Initial Annual Inspection - Reinspection Required; Fines pending
"A CASTLE FOR CLASSY KIDS LEARNING CENTER, INC.",BROOKLYN,5/24/22,Permitted,2 YEARS - 5 YEARS,111,Child Care - Pre School,5/24/10,4/17/22,11,25,14,25,0,2/2/22,Child care service/camp fails to comply with an Order of the Board or Commissioner of Health and Mental Hygiene.,PUBLIC HEALTH HAZARD,OPEN,Initial Annual Inspection - Reinspection Required; Fines pending
"SANDRA'S SUNFLOWER CHILD CARE, INC.",QUEENS,8/27/22,Permitted,2 YEARS - 5 YEARS,65,Child Care - Pre School,8/27/12,4/17/22,9,40,9,0,40,3/24/22,There were no new violations observed at the time of this inspection/visit.,No violation,N/A,Initial Annual Inspection - Passed inspection with no violations
